Lexicon entry	PoS-tag	PoS-tag (Penn Treebank)	Annotation 1
A-film	n	NNP (Proper noun, singular)	++
AA	n	NNP (Proper noun, singular)	0
ARP	n	NNP (Proper noun, singular)	0
Afrika	n	NNP (Proper noun, singular)	0
Afrikaan	n	NNP (Proper noun, singular)	0
Agalev	n	NNP (Proper noun, singular)	0
Agnus Dei	n	NNP (Proper noun, singular)	0
Ambonees	n	NNP (Proper noun, singular)	0
Amos	n	NNP (Proper noun, singular)	0
Antwerpenaar	n	NNP (Proper noun, singular)	0
Apocalyps	n	NNP (Proper noun, singular)	--
Arabisch	n	NNP (Proper noun, singular)	0
Arcadier	n	NNP (Proper noun, singular)	0
B-film	n	NNP (Proper noun, singular)	--
B.O.M.	n	NNP (Proper noun, singular)	?
BLEU	n	NNP (Proper noun, singular)	0
BM	n	NNP (Proper noun, singular)	0
BOB	n	NNP (Proper noun, singular)	0
Bar.	n	NNP (Proper noun, singular)	?
Baruch	n	NNP (Proper noun, singular)	0
Bask	n	NNP (Proper noun, singular)	0
Bataaf	n	NNP (Proper noun, singular)	0
Bourgondier	n	NNP (Proper noun, singular)	0
Brabander	n	NNP (Proper noun, singular)	+
CDA	n	NNP (Proper noun, singular)	0
CFK	n	NNP (Proper noun, singular)	-
CPN	n	NNP (Proper noun, singular)	0
CRI	n	NNP (Proper noun, singular)	0
CVP	n	NNP (Proper noun, singular)	0
Ceres	n	NNP (Proper noun, singular)	0
Christus	n	NNP (Proper noun, singular)	0
Christuskop	n	NNP (Proper noun, singular)	-
Christuslegende	n	NNP (Proper noun, singular)	0
Cleresie	n	NNP (Proper noun, singular)	0
Congo	n	NNP (Proper noun, singular)	0
Congreslid	n	NNP (Proper noun, singular)	0
Demeter	n	NNP (Proper noun, singular)	0
E.G.A.	n	NNP (Proper noun, singular)	?
EEG	n	NNP (Proper noun, singular)	0
EG	n	NNP (Proper noun, singular)	0
Eerste-Kamerlid	n	NNP (Proper noun, singular)	0
Fiom	n	NNP (Proper noun, singular)	0
Flevolander	n	NNP (Proper noun, singular)	0
Fortuna	n	NNP (Proper noun, singular)	+
Fries	n	NNP (Proper noun, singular)	0
Genesis	n	NNP (Proper noun, singular)	0
Godslam	n	NNP (Proper noun, singular)	--
Hagenaar	n	NNP (Proper noun, singular)	0
Hathor	n	NNP (Proper noun, singular)	?
Hector	n	NNP (Proper noun, singular)	0
Hemelvaartsdag	n	NNP (Proper noun, singular)	0
Hermes	n	NNP (Proper noun, singular)	0
Hogerhuislid	n	NNP (Proper noun, singular)	0
Hollander	n	NNP (Proper noun, singular)	0
Hydra	n	NNP (Proper noun, singular)	-
Inka	n	NNP (Proper noun, singular)	0
Interpol	n	NNP (Proper noun, singular)	0
Isis	n	NNP (Proper noun, singular)	0
Janus	n	NNP (Proper noun, singular)	0
Januskop	n	NNP (Proper noun, singular)	-
Jeremia	n	NNP (Proper noun, singular)	0
Jesaja	n	NNP (Proper noun, singular)	0
Jezus	n	NNP (Proper noun, singular)	0
KVP	n	NNP (Proper noun, singular)	0
Kanaaniet	n	NNP (Proper noun, singular)	0
Kaukasier	n	NNP (Proper noun, singular)	0
Kopt	n	NNP (Proper noun, singular)	0
Kreeft	n	NNP (Proper noun, singular)	0
Kretenzer	n	NNP (Proper noun, singular)	0
Lacedaemonier	n	NNP (Proper noun, singular)	0
Leda	n	NNP (Proper noun, singular)	?
Lier	n	NNP (Proper noun, singular)	0
Limbo	n	NNP (Proper noun, singular)	0
Limburger	n	NNP (Proper noun, singular)	0
Londenaar	n	NNP (Proper noun, singular)	0
Luikenaar	n	NNP (Proper noun, singular)	0
Luxemburger	n	NNP (Proper noun, singular)	0
MBD	n	NNP (Proper noun, singular)	?
MOB	n	NNP (Proper noun, singular)	?
Madrileen	n	NNP (Proper noun, singular)	0
Marialegende	n	NNP (Proper noun, singular)	0
Menelaos	n	NNP (Proper noun, singular)	?
Mevr.	n	NNP (Proper noun, singular)	0
Moloch	n	NNP (Proper noun, singular)	0
Namenaar	n	NNP (Proper noun, singular)	0
Neptunusvork	n	NNP (Proper noun, singular)	0
Newyorker	n	NNP (Proper noun, singular)	0
Normandier	n	NNP (Proper noun, singular)	0
Odysseus	n	NNP (Proper noun, singular)	+
Oranje	n	NNP (Proper noun, singular)	0
Pentateuch	n	NNP (Proper noun, singular)	0
Pietje	n	NNP (Proper noun, singular)	0
Pluto	n	NNP (Proper noun, singular)	0
Polynesisch	n	NNP (Proper noun, singular)	0
Prometheus	n	NNP (Proper noun, singular)	0
Pyreneeer	n	NNP (Proper noun, singular)	0
RL	n	NNP (Proper noun, singular)	?
ROSSEM	n	NNP (Proper noun, singular)	?
RPF	n	NNP (Proper noun, singular)	0
RUU	n	NNP (Proper noun, singular)	0
Redder	n	NNP (Proper noun, singular)	++
Romein	n	NNP (Proper noun, singular)	0
Ruslandkenner	n	NNP (Proper noun, singular)	0
Saks	n	NNP (Proper noun, singular)	0
Sardinier	n	NNP (Proper noun, singular)	0
Schorpioen	n	NNP (Proper noun, singular)	0
Siberier	n	NNP (Proper noun, singular)	0
Sint	n	NNP (Proper noun, singular)	0
Sint-	n	NNP (Proper noun, singular)	0
Slavisch	n	NNP (Proper noun, singular)	0
St.	n	NNP (Proper noun, singular)	0
St.-	n	NNP (Proper noun, singular)	+
Statenbijbel	n	NNP (Proper noun, singular)	0
Statiaan	n	NNP (Proper noun, singular)	?
Stier	n	NNP (Proper noun, singular)	0
T-kruising	n	NNP (Proper noun, singular)	0
T.H.	n	NNP (Proper noun, singular)	?
Tory	n	NNP (Proper noun, singular)	0
Tweede-Kamerlid	n	NNP (Proper noun, singular)	0
Tweelingen	n	NNP (Proper noun, singular)	0
U.D.C.	n	NNP (Proper noun, singular)	?
UNESCO	n	NNP (Proper noun, singular)	0
VNV	n	NNP (Proper noun, singular)	?
VTM	n	NNP (Proper noun, singular)	?
Verenigde Naties	n	NNP (Proper noun, singular)	0
Verlichting	n	NNP (Proper noun, singular)	+
