English (en)	Dutch (nl) Annaïs	PoS-tag (Penn Treebank)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
aback	verrast	VBD (Verb, past tense)	0	0	0	0	0	0	0	0	0	0
abacus	telraam	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
abandon	in de steek laten	VB (Verb, base form)	0	1	0	0	0	1	0	1	0	0
abandoned	verlaten	VBN (Verb, past participle)	0	1	1	0	0	1	0	1	0	0
abandonment	verlatenheid	NN (Noun, singular or mass)	0	1	1	0	0	1	0	1	1	0
abate	verminderen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
abatement	vermindering	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abba	abba	NNP (Proper noun, singular)	1	0	0	0	0	0	0	0	0	0
abbot	abt	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
abbreviate	afkorten	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
abbreviation	afkorting	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abdomen	buik	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abdominal	abdominaal	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
abduction	ontvoering	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	1	0
aberrant	afwijkend	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
aberration	aberratie	NN (Noun, singular or mass)	0	1	0	0	1	0	0	0	0	0
abeyance	onbeheerdheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abhor	verafschuwen	VB (Verb, base form)	0	1	1	0	1	1	0	0	0	0
abhorrent	weerzinwekkend	JJ (Adjective)	0	1	1	0	1	1	0	0	0	0
abide	vertoeven	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
ability	vermogen	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
abject	verachtelijk	JJ (Adjective)	0	1	0	0	1	0	0	0	0	0
ablation	verwijdering	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ablaze	in lichterlaaie	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
abnormal	abnormaal	JJ (Adjective)	0	1	0	0	1	0	0	0	0	0
aboard	aan boord	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
abode	woonplaats	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
abolish	afschaffen	VB (Verb, base form)	0	1	1	0	0	0	0	0	0	0
abolition	afschaffing	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
abominable	afschuwelijk	JJ (Adjective)	0	1	0	0	1	1	0	0	0	0
abomination	gruwel	NN (Noun, singular or mass)	0	1	1	0	1	1	0	0	0	0
aboriginal	inheems	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
abort	afbreken	VB (Verb, base form)	0	1	0	0	0	0	0	0	0	0
abortion	abortus	NN (Noun, singular or mass)	0	1	0	0	1	1	0	1	0	0
abortive	vruchteloos	JJ (Adjective)	0	1	0	0	0	0	0	1	0	0
abound	rijk zijn	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
abovementioned	bovengenoemd	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
abrasion	schuring	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
abroad	buitenland	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
abrogate	afschaffen	VB (Verb, base form)	0	1	0	0	0	0	0	0	0	0
abrupt	abrupt	JJ (Adjective)	0	0	0	0	0	0	0	0	1	0
abruptly	abrupt	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
abscess	abces	NN (Noun, singular or mass)	0	1	0	0	0	0	0	1	0	0
absence	afwezigheid	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	0	0
